route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__222___,CRTM,222,MADRID (Avda. América)-MECO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__222___.aspx,8EBF42,FFFFFF
8__223___,CRTM,223,MADRID (Avda. América)-ALCALÁ DE HENARES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__223___.aspx,8EBF42,FFFFFF
8__224___,CRTM,224,MADRID (Avda. América)-TORREJÓN DE ARDOZ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__224___.aspx,8EBF42,FFFFFF
8__224_A__,CRTM,224A,MADRID (Avda. América)-TORREJÓN DE ARDOZ (La Mancha Amarilla),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__224_A__.aspx,8EBF42,FFFFFF
8__226___,CRTM,226,MADRID (Avda. América)-TORREJÓN DE ARDOZ (El Soto),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__226___.aspx,8EBF42,FFFFFF
8__227___,CRTM,227,MADRID (Avda. América)-ALCALÁ (Espartales-Universidad),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__227___.aspx,8EBF42,FFFFFF
8__229___,CRTM,229,MADRID (Avda. América)-ALCALÁ (Virgen del Val),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__229___.aspx,8EBF42,FFFFFF
8__231___,CRTM,231,ALCALÁ DE HENARES-URB. ZULEMA-EL VISO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__231___.aspx,8EBF42,FFFFFF
8__232___,CRTM,232,ALCALÁ DE HENARES-TORRES DE LA ALAMEDA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__232___.aspx,8EBF42,FFFFFF
8__250___,CRTM,250,ALCALÁ DE HENARES-MECO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__250___.aspx,8EBF42,FFFFFF
8__251___,CRTM,251,TORREJÓN-VALDEAVERO-ALCALÁ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__251___.aspx,8EBF42,FFFFFF
8__252___,CRTM,252,TORREJÓN-DAGANZO-ALCALÁ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__252___.aspx,8EBF42,FFFFFF
8__254___,CRTM,254,VALDEOLMOS/FUENTE EL SAZ-ALCALÁ DE HENARES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__254___.aspx,8EBF42,FFFFFF
8__255___,CRTM,255,VALDEAVERO-CAMARMA DE ESTERUELAS-ALCALÁ DE HENARES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__255___.aspx,8EBF42,FFFFFF
8__256___,CRTM,256,MADRID (Canillejas)-DAGANZO-VALDEAVERO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__256___.aspx,8EBF42,FFFFFF
8__260___,CRTM,260,ALCALÁ DE HENARES-AMBITE-ORUSCO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__260___.aspx,8EBF42,FFFFFF
8__261___,CRTM,261,MADRID (Av. de América) - NUEVO BAZTÁN-VILLAR DEL OLMO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__261___.aspx,8EBF42,FFFFFF
8__263___,CRTM,263,MADRID (Barajas)-COBEÑA-ALGETE,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__263___.aspx,8EBF42,FFFFFF
8__271___,CRTM,271,ALCALÁ DE HENARES-PEZUELA-PIOZ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__271___.aspx,8EBF42,FFFFFF
8__272___,CRTM,272,ALCALÁ DE HENARES-VILLALBILLA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__272___.aspx,8EBF42,FFFFFF
8__275___,CRTM,275,ALCALÁ-LOS SANTOS DE LA HUMOSA-ALCALÁ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__275___.aspx,8EBF42,FFFFFF
8__280___,CRTM,280,COSLADA (FFCC)-HOSPITAL-LOECHES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__280___.aspx,8EBF42,FFFFFF
8__281___,CRTM,281,MADRID (Av. de América)-SAN FERNANDO DE HENARES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__281___.aspx,8EBF42,FFFFFF
8__282___,CRTM,282,MADRID (Avda. América)-SAN FERNANDO-MEJORADA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__282___.aspx,8EBF42,FFFFFF
8__283___,CRTM,283,MADRID (Avda. América)-COSLADA-SAN FERNANDO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__283___.aspx,8EBF42,FFFFFF
